Solution Label,Al,As,B,Ba,Be,Br,Ca,Cd,Cl,Co,Cr,Cs,Cu,Fe,Hg,I,K,Li,Mg,Mn,Mo,N,Na,Ni,P,Pb,Rb,S,Se,Si,Sn,Sr,U,V,Zn
unit,ppb,ppm,ppm,ppb,ppm,ppm,ppm,ppb,ppm,ppm,ppm,ppm,ppb,ppb,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
IAPSO,0.54,0.0017,4.5,14,0.014,67,412,0.08,19400,19400,19400,0.00029,0.25,0.055,0.000001,0.05,399,0.174,1290,0.000014,0.000014,0.000014,10800,0.0005,0.07,0.000002,0.12,904,904,2.8,2.8,7.9,0.0033,0.0033,0.0004
